Disease	Gene	metap	metafc
Non-Small Cell Lung Carcinoma	CIDEB	1.6100000000000002e-20	-2.126949921
Non-Small Cell Lung Carcinoma	SORCS1	1.6999999999999998e-28	-1.514037897
Non-Small Cell Lung Carcinoma	MAPK15	4.0399999999999994e-23	-1.8499408259999999
Non-Small Cell Lung Carcinoma	TTLL10	1.85e-22	-1.899917163
Non-Small Cell Lung Carcinoma	FGA	1e-23	-1.7913719959999999
Non-Small Cell Lung Carcinoma	CHRD	1.64e-27	-1.5351321430000002
Non-Small Cell Lung Carcinoma	P2RX2	2.25e-19	-2.1960619869999998
Non-Small Cell Lung Carcinoma	CRISP2	1.6300000000000002e-19	-2.16712996
Non-Small Cell Lung Carcinoma	GRP	4.58e-18	-2.347085165
Non-Small Cell Lung Carcinoma	SPATA4	4.8e-20	-2.102123082
Non-Small Cell Lung Carcinoma	DNAH5	3.46e-22	-1.8887243390000001
Non-Small Cell Lung Carcinoma	CRIPAK	7.699999999999999e-25	-1.6364265119999999
Non-Small Cell Lung Carcinoma	HMGCS2	2.25e-24	-1.643116412
Non-Small Cell Lung Carcinoma	C8orf46	6.520000000000001e-23	-1.749793849
Non-Small Cell Lung Carcinoma	NWD1	2.02e-15	-2.641141319
Non-Small Cell Lung Carcinoma	INPP5D	2.2e-22	-1.7701512609999999
Non-Small Cell Lung Carcinoma	IL18	2.92e-24	-1.6192217740000001
Non-Small Cell Lung Carcinoma	LINC00908	4.6700000000000005e-23	-1.705095326
Non-Small Cell Lung Carcinoma	CCDC114	5.5100000000000004e-21	-1.8760047619999998
Non-Small Cell Lung Carcinoma	C1QTNF5	6.670000000000001e-19	-2.0872315130000003
Non-Small Cell Lung Carcinoma	TMEM91	3.81e-22	-1.7669323019999998
Non-Small Cell Lung Carcinoma	PDE6A	4.96e-22	-1.7395657219999998
Non-Small Cell Lung Carcinoma	C2CD4B	5.83e-20	-1.9246305419999998
Non-Small Cell Lung Carcinoma	PLA2G12B	7.26e-21	-1.8203801590000002
Non-Small Cell Lung Carcinoma	WAS	9.950000000000001e-19	-2.0356405840000003
Non-Small Cell Lung Carcinoma	C8A	1.95e-16	-2.329681032
Non-Small Cell Lung Carcinoma	ESM1	6.15e-24	-1.554557246
Non-Small Cell Lung Carcinoma	HLA-DRB3	1.32e-21	-1.63756576
Non-Small Cell Lung Carcinoma	VSIG10	1.98e-19	-1.8091566909999999
Non-Small Cell Lung Carcinoma	ZNF334	1.41e-16	-2.13448665
Non-Small Cell Lung Carcinoma	ST5	1.0100000000000001e-22	-1.531559286
Non-Small Cell Lung Carcinoma	CCDC183	1.3000000000000001e-20	-1.68367188
Non-Small Cell Lung Carcinoma	IFITM2	9.75e-16	-2.200631481
Non-Small Cell Lung Carcinoma	GGT6	1.2e-16	-2.051668737
Non-Small Cell Lung Carcinoma	TMEM175	9.37e-19	-1.801699863
Non-Small Cell Lung Carcinoma	SLC27A1	8.640000000000001e-17	-2.017907209
Non-Small Cell Lung Carcinoma	DMRTA1	2.36e-21	-1.5674932540000002
Non-Small Cell Lung Carcinoma	MS4A6E	1.67e-15	-2.18666436
Non-Small Cell Lung Carcinoma	SLAMF1	2.2400000000000004e-16	-2.029289456
Non-Small Cell Lung Carcinoma	UMODL1-AS1	2.15e-17	-1.893857911
Non-Small Cell Lung Carcinoma	PENK	1.13e-18	-1.756046275
Non-Small Cell Lung Carcinoma	GNMT	3.5799999999999994e-21	-1.5410192059999999
Non-Small Cell Lung Carcinoma	FABP6	1.48e-18	-1.756329744
Non-Small Cell Lung Carcinoma	PNPLA2	4.03e-21	-1.51589381
Non-Small Cell Lung Carcinoma	LRRC29	5.8799999999999995e-18	-1.791720635
Non-Small Cell Lung Carcinoma	GDPD5	6.57e-16	-2.031860714
Non-Small Cell Lung Carcinoma	TUB	2.56e-17	-1.85815582
Non-Small Cell Lung Carcinoma	CD68	3.2200000000000003e-15	-2.1261344159999997
Non-Small Cell Lung Carcinoma	CPE	1.59e-18	-1.715790909
Non-Small Cell Lung Carcinoma	APOB	1.57e-14	-2.202376821
Non-Small Cell Lung Carcinoma	AUTS2	3.22e-18	-1.7011375
Non-Small Cell Lung Carcinoma	POU2AF1	7.53e-14	-2.208875595
Non-Small Cell Lung Carcinoma	CFAP45	2.52e-15	-1.985170172
Non-Small Cell Lung Carcinoma	HTR2B	6.2700000000000005e-15	-2.0377099999999997
Non-Small Cell Lung Carcinoma	NAT1	6.54e-19	-1.5854079369999998
Non-Small Cell Lung Carcinoma	MIR21	3.82e-18	-1.62689681
Non-Small Cell Lung Carcinoma	MAG	8.970000000000001e-18	-1.655272742
Non-Small Cell Lung Carcinoma	TSPAN32	2.16e-15	-1.911174603
Non-Small Cell Lung Carcinoma	LY6H	9.499999999999999e-17	-1.7358259740000002
Non-Small Cell Lung Carcinoma	SNORD97	3.68e-16	-1.800723123
Non-Small Cell Lung Carcinoma	AGBL4	4.36e-18	-1.59780907
Non-Small Cell Lung Carcinoma	MORN1	2.26e-15	-1.87727371
Non-Small Cell Lung Carcinoma	NAT8B	1.3e-17	-1.61484871
Non-Small Cell Lung Carcinoma	LRTOMT	1.5199999999999998e-15	-1.8392211109999999
Non-Small Cell Lung Carcinoma	OR2A9P	2.3e-17	-1.611439789
Non-Small Cell Lung Carcinoma	SLC19A1	7.8e-17	-1.662784841
Non-Small Cell Lung Carcinoma	HPX	8.240000000000001e-18	-1.5633505490000001
Non-Small Cell Lung Carcinoma	MALL	6.85e-16	-1.753986772
Non-Small Cell Lung Carcinoma	RNA5S9	2.15e-12	-2.27747963
Non-Small Cell Lung Carcinoma	PTPRT	1.14e-15	-1.776735317
Non-Small Cell Lung Carcinoma	C9orf116	1.05e-15	-1.742345595
Non-Small Cell Lung Carcinoma	ABHD12B	6.17e-14	-1.960268006
Non-Small Cell Lung Carcinoma	IFNLR1	2.58e-16	-1.6530108369999998
Non-Small Cell Lung Carcinoma	APOA1	1.2e-13	-1.982855595
Non-Small Cell Lung Carcinoma	SCARNA13	3.5299999999999997e-16	-1.652081364
Non-Small Cell Lung Carcinoma	HEMK1	1.29e-14	-1.831623721
Non-Small Cell Lung Carcinoma	APOBEC3A	4.9100000000000005e-15	-1.7437565480000001
Non-Small Cell Lung Carcinoma	CRACR2B	9.23e-14	-1.9106669840000001
Non-Small Cell Lung Carcinoma	NAP1L3	1.5e-15	-1.67672381
Non-Small Cell Lung Carcinoma	SLC23A1	8.209999999999999e-15	-1.7605308819999999
Non-Small Cell Lung Carcinoma	SPAG8	2.0000000000000002e-11	-2.313727183
Non-Small Cell Lung Carcinoma	SIGLEC12	2.77e-16	-1.571861404
Non-Small Cell Lung Carcinoma	FOXJ1	1.9899999999999999e-13	-1.91993545
Non-Small Cell Lung Carcinoma	FOCAD	2.62e-14	-1.7934922080000002
Non-Small Cell Lung Carcinoma	PRR4	6.24e-15	-1.701175694
Non-Small Cell Lung Carcinoma	ZNF649	3.0499999999999997e-12	-2.094948246
Non-Small Cell Lung Carcinoma	FAM65C	8.64e-16	-1.598560507
Non-Small Cell Lung Carcinoma	IFT81	1.35e-16	-1.502110256
Non-Small Cell Lung Carcinoma	IFITM1	3.48e-10	-2.496041667
Non-Small Cell Lung Carcinoma	SNORA51	3.23e-16	-1.523729699
Non-Small Cell Lung Carcinoma	NPR2	1.35e-15	-1.574814327
Non-Small Cell Lung Carcinoma	IDO2	5.68e-13	-1.90415558
Non-Small Cell Lung Carcinoma	PDZD4	7.440000000000001e-15	-1.6409934519999998
Non-Small Cell Lung Carcinoma	GFI1	1.1900000000000002e-13	-1.7780962409999999
Non-Small Cell Lung Carcinoma	GTF2IRD2B	1.13e-14	-1.64718283
Non-Small Cell Lung Carcinoma	LUM	6.16e-09	-2.792379762
Non-Small Cell Lung Carcinoma	FMNL3	6.65e-12	-2.011570513
Non-Small Cell Lung Carcinoma	CNTROB	4.82e-15	-1.566881044
Non-Small Cell Lung Carcinoma	PIH1D3	1.97e-10	-2.273953026
Non-Small Cell Lung Carcinoma	TCF7L1	8.91e-14	-1.6840998630000001
Non-Small Cell Lung Carcinoma	POFUT2	4.64e-14	-1.644238095
Non-Small Cell Lung Carcinoma	BTNL3	6.28e-14	-1.64540123
Non-Small Cell Lung Carcinoma	SLC16A10	1.52e-08	-2.7716654760000003
Non-Small Cell Lung Carcinoma	LRRC8C	1.03e-14	-1.5483666669999998
Non-Small Cell Lung Carcinoma	DLGAP1-AS1	3.7600000000000005e-11	-2.058973077
Non-Small Cell Lung Carcinoma	COL5A3	8.84e-09	-2.650002976
Non-Small Cell Lung Carcinoma	PKD2L1	2.7399999999999997e-11	-2.008367932
Non-Small Cell Lung Carcinoma	LRRC56	6.17e-13	-1.729269524
Non-Small Cell Lung Carcinoma	ZNF211	5.23e-12	-1.86070582
Non-Small Cell Lung Carcinoma	KIF21B	5.4600000000000006e-12	-1.807680952
Non-Small Cell Lung Carcinoma	ZCCHC6	6.61e-12	-1.7920158880000001
Non-Small Cell Lung Carcinoma	CYP2C8	7.42e-13	-1.6512562730000002
Non-Small Cell Lung Carcinoma	CDK18	1.1400000000000002e-13	-1.54109119
Non-Small Cell Lung Carcinoma	GLYCTK	1.1199999999999999e-13	-1.53217432
Non-Small Cell Lung Carcinoma	IQCG	7.89e-12	-1.78102037
Non-Small Cell Lung Carcinoma	PLXNB1	2.24e-10	-2.0370288359999997
Non-Small Cell Lung Carcinoma	ZDHHC1	1.58e-11	-1.8142922019999999
Non-Small Cell Lung Carcinoma	HLA-DRB4	6.51e-12	-1.748301855
Non-Small Cell Lung Carcinoma	DUXAP3	6.409999999999999e-11	-1.907529541
Non-Small Cell Lung Carcinoma	LINC01278	4.39e-11	-1.86710207
Non-Small Cell Lung Carcinoma	SORCS2	3.4400000000000003e-12	-1.679703755
Non-Small Cell Lung Carcinoma	LY6G5C	9.08e-12	-1.714261451
Non-Small Cell Lung Carcinoma	PDGFRA	1.26e-11	-1.7097985830000002
Non-Small Cell Lung Carcinoma	ZNF415	1.45e-12	-1.560806111
Non-Small Cell Lung Carcinoma	RYR3	3.9800000000000004e-12	-1.618002579
Non-Small Cell Lung Carcinoma	CPT1C	1.77e-08	-2.3732
Non-Small Cell Lung Carcinoma	THEMIS	1.74e-11	-1.685886905
Non-Small Cell Lung Carcinoma	HABP4	6.769999999999999e-10	-1.974715625
Non-Small Cell Lung Carcinoma	SLC2A6	1.45e-07	-2.598447222
Non-Small Cell Lung Carcinoma	CHRNA10	7.83e-12	-1.597054365
Non-Small Cell Lung Carcinoma	IFNAR1	5.160000000000001e-11	-1.721036508
Non-Small Cell Lung Carcinoma	VSIG8	5.28e-09	-2.133838889
Non-Small Cell Lung Carcinoma	GUCA1B	1.26e-09	-1.984042308
Non-Small Cell Lung Carcinoma	GAS8	6.56e-10	-1.919489506
Non-Small Cell Lung Carcinoma	PIWIL4	2.64e-10	-1.830180075
Non-Small Cell Lung Carcinoma	VTRNA2-1	1.61e-11	-1.605091667
Non-Small Cell Lung Carcinoma	CAPS	9.04e-11	-1.7075982140000001
Non-Small Cell Lung Carcinoma	PODN	2.43e-10	-1.782216071
Non-Small Cell Lung Carcinoma	PPP2R2B	4.42e-10	-1.831469597
Non-Small Cell Lung Carcinoma	CPEB1	6.07e-10	-1.858028333
Non-Small Cell Lung Carcinoma	DNMBP-AS1	1.89e-10	-1.757264762
Non-Small Cell Lung Carcinoma	ADRA1B	1.38e-10	-1.732077778
Non-Small Cell Lung Carcinoma	GGA1	3.5e-11	-1.630893819
Non-Small Cell Lung Carcinoma	WDR93	4.09e-10	-1.8034423119999998
Non-Small Cell Lung Carcinoma	CRYGS	1.01e-08	-2.106858333
Non-Small Cell Lung Carcinoma	FBXO15	7.259999999999999e-12	-1.5083274309999999
Non-Small Cell Lung Carcinoma	FLT3	1.51e-11	-1.525720975
Non-Small Cell Lung Carcinoma	GNA15	9.919999999999999e-10	-1.820180208
Non-Small Cell Lung Carcinoma	OVGP1	1.6000000000000002e-10	-1.661141786
Non-Small Cell Lung Carcinoma	MFSD7	3.15e-10	-1.704003788
Non-Small Cell Lung Carcinoma	TECPR1	9.76e-08	-2.3037527780000002
Non-Small Cell Lung Carcinoma	FOXO1	4.0499999999999996e-11	-1.551890517
Non-Small Cell Lung Carcinoma	DMC1	1.09e-10	-1.592000641
Non-Small Cell Lung Carcinoma	TP53INP1	1.7500000000000002e-10	-1.596332804
Non-Small Cell Lung Carcinoma	DNAAF3	3.64e-09	-1.833419405
Non-Small Cell Lung Carcinoma	RNASEH2C	1.3e-09	-1.735777778
Non-Small Cell Lung Carcinoma	SLC4A7	8.98e-10	-1.69356875
Non-Small Cell Lung Carcinoma	LXN	6.090000000000001e-10	-1.655146952
Non-Small Cell Lung Carcinoma	PLXDC1	9.53e-11	-1.520426984
Non-Small Cell Lung Carcinoma	SPAG7	5.38e-07	-2.419848958
Non-Small Cell Lung Carcinoma	SEPT7P2	3.6799999999999997e-10	-1.593556349
Non-Small Cell Lung Carcinoma	CSPG5	2.18e-10	-1.55055119
Non-Small Cell Lung Carcinoma	FAAH	1.54e-10	-1.523981667
Non-Small Cell Lung Carcinoma	CYBA	7.14e-10	-1.612275595
Non-Small Cell Lung Carcinoma	PRPH	4.46e-10	-1.555384444
Non-Small Cell Lung Carcinoma	MEGF6	1.88e-09	-1.651916479
Non-Small Cell Lung Carcinoma	PCBP4	6.820000000000001e-09	-1.7586405219999999
Non-Small Cell Lung Carcinoma	SLC22A23	2.36e-09	-1.659031973
Non-Small Cell Lung Carcinoma	SLC43A3	9.030000000000001e-10	-1.5795182819999998
Non-Small Cell Lung Carcinoma	PIN4	1.87e-09	-1.614113631
Non-Small Cell Lung Carcinoma	SLC7A6	2.6800000000000003e-09	-1.6373435440000002
Non-Small Cell Lung Carcinoma	SH2D2A	1.57e-09	-1.5872705130000002
Non-Small Cell Lung Carcinoma	MRPL57	3.7e-09	-1.6238013690000002
Non-Small Cell Lung Carcinoma	ERMAP	1.1899999999999999e-08	-1.70433494
Non-Small Cell Lung Carcinoma	CHST12	3.3700000000000004e-08	-1.7895860540000001
Non-Small Cell Lung Carcinoma	LEPR	4.3700000000000004e-09	-1.59393745
Non-Small Cell Lung Carcinoma	ST3GAL2	3.8100000000000004e-08	-1.7922871790000001
Non-Small Cell Lung Carcinoma	TCEAL3	3.4100000000000004e-09	-1.567690377
Non-Small Cell Lung Carcinoma	CDRT4	2.2999999999999998e-08	-1.737166283
Non-Small Cell Lung Carcinoma	MBD1	5.26e-08	-1.8168512819999998
Non-Small Cell Lung Carcinoma	CMTM8	1.49e-07	-1.924802489
Non-Small Cell Lung Carcinoma	DPEP3	2.93e-09	-1.527718821
Non-Small Cell Lung Carcinoma	DICER1-AS1	7.18e-08	-1.810543424
Non-Small Cell Lung Carcinoma	OR7D2	2.08e-08	-1.669768254
Non-Small Cell Lung Carcinoma	FAM160B2	4.92e-06	-2.41375
Non-Small Cell Lung Carcinoma	HAND1	6.1199999999999995e-09	-1.535056236
Non-Small Cell Lung Carcinoma	DCAF5	6.47e-08	-1.7510294530000001
Non-Small Cell Lung Carcinoma	TUT1	1.9e-06	-2.181691667
Non-Small Cell Lung Carcinoma	ZNF274	2.58e-08	-1.6354128209999999
Non-Small Cell Lung Carcinoma	GDPD3	1.73e-08	-1.5661215419999999
